transaction_id,customer_id,project_id,unit_id,demand_amount,collected_amount,outstanding_amount,discount_amount,refund_amount,payment_delay_days,demand_date,payment_date
TXN001462,CUST5707,PROJ-1008,C-0801,922000,468000,454000,0,0,1,2025-08-13,2025-08-14
TXN000051,CUST4266,PROJ-1004,A-2003,732000,0,732000,0,0,8,2025-04-21,
TXN001619,CUST3575,PROJ-1007,C-1101,768000,768000,0,0,0,29,2024-08-05,2024-09-03
TXN000888,CUST9378,PROJ-1001,C-1907,1433000,0,1433000,0,0,12,2024-12-26,
TXN000818,CUST8303,PROJ-1004,A-0309,1719000,894000,825000,0,0,0,2024-06-06,2024-06-06
TXN000130,CUST4637,PROJ-1002,D-2906,518000,0,504000,14000,0,7,2025-01-18,
TXN001440,CUST9411,PROJ-1008,B-3003,307000,226000,81000,0,0,7,2025-08-26,2025-09-02
TXN001800,CUST6680,PROJ-1006,A-0407,1058000,1058000,0,0,0,16,2024-05-17,2024-06-02
TXN000547,CUST9433,PROJ-1001,C-2901,501000,501000,0,0,0,10,2024-06-28,2024-07-08
TXN000723,CUST2527,PROJ-1005,B-0411,1373000,1324000,0,49000,0,23,2024-03-12,2024-04-04
TXN000004,CUST5333,PROJ-1006,A-2408,1262000,1262000,0,0,0,9,2025-10-05,2025-10-14
TXN000291,CUST7078,PROJ-1003,D-1203,547000,547000,0,0,0,8,2024-10-02,2024-10-10
TXN001064,CUST9229,PROJ-1006,E-1807,1024000,481000,543000,0,0,5,2024-06-30,2024-07-05
TXN001558,CUST4748,PROJ-1005,D-1104,863000,448000,415000,0,0,8,2025-04-17,2025-04-25
TXN000380,CUST7971,PROJ-1002,B-0908,688000,688000,0,0,0,0,2024-07-12,2024-07-12
TXN002284,CUST9909,PROJ-1003,A-1408,859000,0,859000,0,0,2,2024-05-23,
TXN002479,CUST5325,PROJ-1008,C-0401,1369000,1369000,0,0,0,-15,2024-11-06,2024-10-22
TXN001458,CUST7412,PROJ-1005,B-2804,2201000,2201000,0,0,0,11,2024-03-22,2024-04-02
TXN002172,CUST6886,PROJ-1005,B-1710,1900000,1885000,0,15000,0,3,2025-04-15,2025-04-18
TXN002009,CUST3379,PROJ-1004,D-1302,476000,476000,0,0,0,2,2024-12-17,2024-12-19
TXN001467,CUST1985,PROJ-1008,E-2403,507000,262000,245000,0,0,5,2024-12-22,2024-12-27
TXN000330,CUST6542,PROJ-1004,E-1712,1200000,1200000,0,0,0,11,2025-11-10,2025-11-21
TXN000322,CUST5631,PROJ-1002,A-2602,708000,555000,153000,0,0,12,2025-01-01,2025-01-13
TXN001401,CUST6162,PROJ-1005,A-1312,748000,354000,394000,0,0,12,2025-04-22,2025-05-04
TXN001939,CUST1518,PROJ-1007,D-2812,863000,0,863000,0,0,13,2024-10-11,
TXN000619,CUST5754,PROJ-1001,C-0810,760000,760000,0,0,0,6,2024-01-11,2024-01-17
TXN002435,CUST9798,PROJ-1007,D-2208,476000,476000,0,0,0,13,2024-05-24,2024-06-06
TXN001606,CUST7505,PROJ-1006,B-0710,610000,610000,0,0,0,1,2024-11-28,2024-11-29
TXN001709,CUST4531,PROJ-1002,B-2901,623000,623000,0,0,0,13,2024-03-10,2024-03-23
TXN001045,CUST3941,PROJ-1007,B-1311,1223000,319000,904000,0,0,15,2025-02-18,2025-03-05
TXN000504,CUST9574,PROJ-1002,E-0304,1161000,1161000,0,0,0,7,2025-10-10,2025-10-17
TXN002571,CUST7303,PROJ-1003,D-1204,1252000,411000,793000,48000,0,235,2025-04-10,2025-12-01
TXN001757,CUST3730,PROJ-1001,E-2607,471000,103000,368000,0,0,2,2025-02-12,2025-02-14
TXN002488,CUST1451,PROJ-1007,D-1905,602000,348000,0,254000,0,6,2024-12-15,2024-12-21
TXN000073,CUST7770,PROJ-1008,A-0709,1453000,468000,985000,0,0,1,2025-07-16,2025-07-17
TXN000540,CUST4602,PROJ-1006,C-2003,1356000,1356000,0,0,0,18,2025-02-25,2025-03-15
TXN001162,CUST4164,PROJ-1008,E-0510,1783000,1195000,588000,0,0,11,2024-04-29,2024-05-10
TXN000806,CUST3651,PROJ-1008,B-1212,506000,506000,0,0,0,4,2024-07-13,2024-07-17
TXN000449,CUST4288,PROJ-1005,E-0901,1187000,710000,477000,0,0,5,2025-11-06,2025-11-11
TXN002183,CUST4944,PROJ-1006,E-0607,1133000,496000,637000,0,0,15,2024-05-09,2024-05-24
TXN000622,CUST7076,PROJ-1007,B-2909,394000,0,394000,0,0,4,2025-04-24,
TXN002104,CUST8999,PROJ-1007,C-2012,349000,349000,0,0,0,10,2024-06-02,2024-06-12
TXN002146,CUST3554,PROJ-1005,A-0706,678000,678000,0,0,0,1,2025-11-18,2025-11-19
TXN001376,CUST1575,PROJ-1006,E-0611,614000,607000,0,7000,0,3,2025-03-21,2025-03-24
TXN002548,CUST5701,PROJ-1004,A-1207,974000,1185000,-211000,0,0,1,2025-01-03,2025-01-04
TXN001366,CUST4069,PROJ-1004,A-2405,763000,763000,0,0,0,11,2025-02-15,2025-02-26
TXN001859,CUST2423,PROJ-1003,C-2611,1384000,1384000,0,0,0,3,2024-12-31,2025-01-03
TXN002125,CUST6842,PROJ-1001,B-1408,1155000,1155000,0,0,0,7,2025-08-09,2025-08-16
TXN001173,CUST7479,PROJ-1001,A-2308,834000,198000,628000,8000,0,4,2025-07-03,2025-07-07
TXN002529,CUST8087,PROJ-1006,B-1103,300000,300000,0,0,0,170,2024-10-23,2025-04-11
TXN001294,CUST5563,PROJ-1007,B-0807,975000,975000,0,0,0,8,2024-02-23,2024-03-02
TXN000691,CUST6292,PROJ-1001,D-2807,928000,928000,0,0,0,20,2024-02-14,2024-03-05
TXN000225,CUST6225,PROJ-1008,A-1001,312000,93000,219000,0,0,7,2024-09-06,2024-09-13
TXN000842,CUST2208,PROJ-1002,D-2710,632000,625000,0,7000,0,2,2025-03-02,2025-03-04
TXN002096,CUST7369,PROJ-1005,B-2402,1579000,1579000,0,0,0,24,2024-03-25,2024-04-18
TXN000712,CUST4394,PROJ-1001,B-2904,746000,405000,341000,0,0,3,2025-01-18,2025-01-21
TXN002289,CUST6055,PROJ-1001,E-1202,1482000,1465000,0,17000,0,5,2024-10-31,2024-11-05
TXN002325,CUST1775,PROJ-1003,A-2504,562000,330000,204000,28000,0,5,2024-04-27,2024-05-02
TXN001613,CUST4542,PROJ-1005,C-2512,407000,407000,0,0,0,1,2024-12-22,2024-12-23
TXN002410,CUST4823,PROJ-1006,C-1503,1502000,0,1502000,0,0,15,2025-02-22,
TXN002568,CUST1387,PROJ-1005,B-3002,1101000,441000,660000,-288000,0,6,2025-08-29,2025-09-04
TXN001657,CUST4702,PROJ-1008,A-3011,316000,316000,0,0,0,15,2025-06-27,2025-07-12
TXN001518,CUST6188,PROJ-1002,B-0205,2277000,2277000,0,0,0,15,2025-09-04,2025-09-19
TXN001497,CUST9669,PROJ-1006,D-3004,824000,799000,0,25000,0,0,2025-07-03,2025-07-03
TXN000685,CUST9825,PROJ-1002,A-2911,1205000,1146000,0,59000,0,2,2025-01-31,2025-02-02
TXN001061,CUST3731,PROJ-1003,E-1210,936000,936000,0,0,27000,30,2025-05-17,2025-06-16
TXN001930,CUST3662,PROJ-1003,B-3005,451000,451000,0,0,0,9,2024-01-14,2024-01-23
TXN000227,CUST8037,PROJ-1008,D-0112,816000,446000,370000,0,0,2,2025-07-03,2025-07-05
TXN000189,CUST9843,PROJ-1004,B-2501,1128000,0,1128000,0,0,10,2025-08-12,
TXN001225,CUST1472,PROJ-1001,D-0306,1313000,700000,613000,0,0,6,2025-08-31,2025-09-06
TXN000478,CUST3877,PROJ-1001,B-1106,998000,998000,0,0,0,6,2025-10-04,2025-10-10
TXN000843,CUST8696,PROJ-1003,B-2409,1293000,798000,495000,0,0,1,2024-10-20,2024-10-21
